DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 06:30:00,2023-12-20 21:35:00,373.0,['Lufthansa'],2,54300,"['7h 15m layover, Kastrup Copenhagen', '1h 30m layover, Frankfurt am Main']",kayak.com
2023-12-20 06:30:00,2023-12-20 21:35:00,373.0,['Lufthansa'],2,54300,"['2h 25m layover, Kastrup Copenhagen', '6h 15m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,415.0,['Lufthansa'],2,52500,"['6h 15m layover, Munich Franz Josef Strauss', '1h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,415.0,['Lufthansa'],2,52500,"['5h 15m layover, Munich Franz Josef Strauss', '2h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,415.0,['Lufthansa'],2,52500,"['1h 15m layover, Munich Franz Josef Strauss', '6h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,415.0,['Lufthansa'],2,52500,"['3h 15m layover, Munich Franz Josef Strauss', '4h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:25:00,2023-12-20 21:35:00,510.0,['Lufthansa'],2,51000,"['2h 15m layover, Stockholm Arlanda', '5h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 06:25:00,2023-12-20 21:40:00,360.0,"['Finnair', 'Pegasus Airlines']",1,54900,"['8h 15m layover, Tel Aviv Ben Gurion Intl']",kayak.com
2023-12-20 06:30:00,2023-12-20 15:55:00,968.0,['Scandinavian Airlines'],2,33900,"['1h 00m layover, Kastrup Copenhagen', '2h 15m layover, Gothenburg Landvetter']",kayak.com
2023-12-20 06:30:00,2023-12-20 21:35:00,464.0,['Lufthansa'],2,54300,"['2h 50m layover, Kastrup Copenhagen', '5h 55m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:50:00,2023-12-20 23:20:00,463.0,['British Airways'],1,55800,"['8h 05m layover, London Heathrow']",kayak.com
2023-12-20 09:40:00,2023-12-20 23:35:00,569.0,"['Finnair', 'LOT']",2,50100,"['8h 00m layover, Tallinn Ulemiste', '1h 10m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 06:30:00,2023-12-20 16:55:00,357.0,"['Scandinavian Airlines', 'Pegasus Airlines']",2,37500,"['0h 45m layover, Kastrup Copenhagen', '3h 20m layover, Duesseldorf Intl']",kayak.com
2023-12-20 03:30:00,2023-12-20 17:05:00,468.0,['Multiple airlines'],3,48900,"['1h 10m layover, Riga Intl', '4h 30m layover, Vienna Intl', '1h 40m layover, Tirana Rinas']",kayak.com
2023-12-20 06:30:00,2023-12-20 16:20:00,1010.0,['Scandinavian Airlines'],2,35400,"['0h 45m layover, Kastrup Copenhagen', '2h 20m layover, Stockholm Arlanda']",kayak.com
2023-12-20 07:25:00,2023-12-20 19:05:00,931.0,['Scandinavian Airlines'],1,42000,"['6h 45m layover, Stockholm Arlanda']",kayak.com
2023-12-20 06:30:00,2023-12-20 18:25:00,937.0,['Scandinavian Airlines'],1,42900,"['6h 55m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 18:25:00,969.0,['Scandinavian Airlines'],2,39600,"['1h 40m layover, Stockholm Arlanda', '3h 45m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 18:25:00,969.0,['Scandinavian Airlines'],2,39600,"['2h 20m layover, Stockholm Arlanda', '3h 00m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 11:05:00,2023-12-20 22:35:00,960.0,['Scandinavian Airlines'],2,41400,"['1h 05m layover, Oslo Gardermoen', '4h 05m layover, Stockholm Arlanda']",kayak.com
2023-12-20 11:05:00,2023-12-20 22:35:00,960.0,['Scandinavian Airlines'],2,41400,"['2h 10m layover, Oslo Gardermoen', '3h 00m layover, Stockholm Arlanda']",kayak.com
2023-12-20 10:15:00,2023-12-20 22:35:00,931.0,['Scandinavian Airlines'],1,44400,"['7h 30m layover, Stockholm Arlanda']",kayak.com
2023-12-20 10:05:00,2023-12-20 22:25:00,968.0,['Scandinavian Airlines'],2,44400,"['3h 15m layover, Kastrup Copenhagen', '2h 55m layover, Gothenburg Landvetter']",kayak.com
2023-12-20 07:00:00,2023-12-20 17:05:00,1219.0,['Lufthansa'],2,36300,"['2h 15m layover, Munich Franz Josef Strauss', '0h 55m layover, Frankfurt am Main']",kayak.com
2023-12-20 10:05:00,2023-12-20 18:25:00,1419.0,"['Scandinavian Airlines', 'Pakistan International Airlines']",1,30000,"['3h 20m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 10:05:00,2023-12-20 22:35:00,1013.0,['Scandinavian Airlines'],2,45000,"['2h 55m layover, Kastrup Copenhagen', '2h 50m layover, Stockholm Arlanda']",kayak.com
2023-12-20 06:30:00,2023-12-20 19:05:00,1010.0,['Scandinavian Airlines'],2,45300,"['2h 50m layover, Kastrup Copenhagen', '3h 00m layover, Stockholm Arlanda']",kayak.com
2023-12-20 06:30:00,2023-12-20 15:05:00,1419.0,"['Scandinavian Airlines', 'Pakistan International Airlines']",1,30900,"['3h 35m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 22:35:00,931.0,['Scandinavian Airlines'],1,54600,"['10h 15m layover, Stockholm Arlanda']",kayak.com
2023-12-20 07:25:00,2023-12-20 22:25:00,971.0,['Scandinavian Airlines'],2,54000,"['0h 35m layover, Stockholm Arlanda', '8h 45m layover, Gothenburg Landvetter']",kayak.com
2023-12-20 10:15:00,2023-12-20 23:05:00,1303.0,['Scandinavian Airlines'],2,46200,"['5h 45m layover, Stockholm Arlanda', '1h 00m layover, Oslo Gardermoen']",kayak.com
2023-12-20 10:15:00,2023-12-20 23:05:00,1303.0,['Scandinavian Airlines'],2,46200,"['1h 50m layover, Stockholm Arlanda', '4h 55m layover, Oslo Gardermoen']",kayak.com
2023-12-20 06:30:00,2023-12-20 18:25:00,1419.0,"['Scandinavian Airlines', 'Pakistan International Airlines']",1,42900,"['6h 55m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,1358.0,['Lufthansa'],2,52500,"['2h 15m layover, Munich Franz Josef Strauss', '5h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 16:10:00,1898.0,['KLM'],2,33000,"['0h 45m layover, Amsterdam Schiphol', '0h 45m layover, Paris Charles de Gaulle']",kayak.com
2023-12-20 01:30:00,2023-12-20 10:15:00,2479.0,"['Scandinavian Airlines', 'Turkish Airlines']",2,31500,"['1h 35m layover, Stockholm Arlanda', '1h 30m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 11:05:00,2023-12-20 22:15:00,2475.0,"['Scandinavian Airlines', 'Turkish Airlines']",2,40200,"['1h 45m layover, Oslo Gardermoen', '3h 20m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 10:05:00,2023-12-20 22:15:00,2446.0,"['Scandinavian Airlines', 'Turkish Airlines']",1,43800,"['7h 05m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 17:55:00,3633.0,['Multiple airlines'],2,37800,"['2h 15m layover, Stockholm Arlanda', '1h 45m layover, Frankfurt am Main']",kayak.com
2023-12-20 05:20:00,2023-12-20 14:25:00,211.0,['airBaltic'],1,32700,"['4h 45m layover, Riga Intl']",momondo.com
2023-12-20 12:25:00,2023-12-20 16:20:00,282.0,['Turkish Airlines'],0,14100,[],momondo.com
2023-12-20 05:20:00,2023-12-20 14:25:00,209.0,['airBaltic'],1,32700,"['4h 45m layover, Riga Intl']",momondo.com
2023-12-20 12:25:00,2023-12-20 16:20:00,297.0,['Finnair'],0,14100,[],momondo.com
2023-12-20 06:50:00,2023-12-20 10:40:00,309.0,['Turkish Airlines'],0,13800,[],momondo.com
2023-12-20 06:50:00,2023-12-20 10:40:00,360.0,['Finnair'],0,13800,[],momondo.com
2023-12-20 02:00:00,2023-12-20 09:35:00,260.0,['Lufthansa'],1,27300,"['1h 40m layover, Frankfurt am Main']",momondo.com
2023-12-20 07:30:00,2023-12-20 12:55:00,297.0,"['Finnair', 'LOT']",1,19500,"['1h 05m layover, Warsaw Frederic Chopin']",momondo.com
2023-12-20 07:45:00,2023-12-20 14:25:00,240.0,"['Finnair', 'airBaltic']",1,24000,"['2h 10m layover, Riga Intl']",momondo.com
2023-12-20 05:50:00,2023-12-20 11:35:00,361.0,"['Finnair', 'LOT']",1,20700,"['1h 20m layover, Warsaw Frederic Chopin']",momondo.com
